,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
72063,Asia,中国,China,河南省,Henan,1231,0.0,440,13
72082,Asia,中国,China,黑龙江省,Heilongjiang,445,0.0,79,11
72095,Asia,中国,China,陕西省,Shaanxi,236,0.0,71,0
72108,Asia,中国,China,甘肃省,Gansu,90,0.0,54,2
72119,Asia,中国,China,山西省,Shanxi,128,0.0,49,0
72149,Asia,中国,China,湖南省,Hunan,1004,0.0,464,3
72176,Asia,中国,China,天津市,Tianjin,124,0.0,45,3
72191,Asia,中国,China,广东省,Guangdong,1316,0.0,465,2
72231,Asia,中国,China,山东省,Shandong,537,0.0,173,2
72259,Asia,中国,China,福建省,Fujian,287,0.0,82,0
72268,Asia,中国,China,河北省,Hebei,300,0.0,105,3
72279,Asia,中国,China,广西壮族自治区,Guangxi,237,0.0,49,2
72292,Asia,中国,China,海南省,Hainan,162,0.0,52,4
72308,Asia,中国,China,辽宁省,Liaoning,121,0.0,40,1
72321,Asia,中国,China,澳门,Macau,10,0.0,5,0
72322,Asia,中国,China,湖北省,Hubei,56249,0.0,5666,1596
72352,Asia,中国,China,台湾,Taiwan,20,0.0,2,1
72441,Asia,中国,China,江西省,Jiangxi,925,0.0,240,1
72481,Asia,中国,China,四川省,Sichuan,481,0.0,131,3
72503,Asia,中国,China,北京市,Beijing,380,0.0,108,4
72531,Asia,中国,China,吉林省,Jilin,89,0.0,30,1
72561,Asia,中国,China,香港,Hong Kong,57,0.0,2,1
72562,Asia,中国,China,云南省,Yunnan,171,0.0,42,0
72626,Asia,中国,China,浙江省,Zhejiang,1167,0.0,456,0
72651,Asia,中国,China,江苏省,Jiangsu,617,0.0,218,0
72665,Asia,中国,China,贵州省,Guizhou,144,0.0,46,1
72704,Asia,中国,China,安徽省,Anhui,962,0.0,255,6
72746,Asia,中国,China,内蒙古自治区,Neimenggu,70,0.0,8,0
72757,Asia,中国,China,新疆维吾尔自治区,Xinjiang,71,0.0,12,1
72769,Asia,中国,China,重庆市,Chongqing,547,0.0,187,5
73359,Asia,中国,China,上海市,Shanghai,328,0.0,140,1
