,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
39168,Asia,中国,China,湖北省,Hubei,67760,0.0,47743,3024
39196,Asia,中国,China,甘肃省,Gansu,125,0.0,88,2
39222,Asia,中国,China,香港,Hong Kong,118,0.0,60,3
39343,Asia,中国,China,浙江省,Zhejiang,1215,0.0,1191,1
39357,Asia,中国,China,四川省,Sichuan,539,0.0,478,3
39378,Asia,中国,China,天津市,Tianjin,136,0.0,131,3
39427,Asia,中国,China,广东省,Guangdong,1353,0.0,1274,8
39502,Asia,中国,China,湖南省,Hunan,1018,0.0,990,4
39516,Asia,中国,China,陕西省,Shaanxi,245,0.0,228,1
39540,Asia,中国,China,江苏省,Jiangsu,631,0.0,627,0
39553,Asia,中国,China,山东省,Shandong,758,0.0,719,6
39625,Asia,中国,China,台湾,Taiwan,47,0.0,17,1
39627,Asia,中国,China,上海市,Shanghai,344,0.0,319,3
39717,Asia,中国,China,山西省,Shanxi,133,0.0,128,0
39938,Asia,中国,China,辽宁省,Liaoning,125,0.0,111,1
40028,Asia,中国,China,江西省,Jiangxi,935,0.0,927,1
40089,Asia,中国,China,贵州省,Guizhou,146,0.0,129,2
40098,Asia,中国,China,北京市,Beijing,429,0.0,320,8
40152,Asia,中国,China,广西壮族自治区,Guangxi,252,0.0,234,2
40195,Asia,中国,China,黑龙江省,Heilongjiang,481,0.0,434,13
40239,Asia,中国,China,重庆市,Chongqing,576,0.0,542,6
