,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
47494,Asia,中国,China,湖南省,Hunan,1018,0.0,916,4
47508,Asia,中国,China,陕西省,Shaanxi,245,0.0,223,1
47521,Asia,中国,China,内蒙古自治区,Neimenggu,75,0.0,63,1
47532,Asia,中国,China,新疆维吾尔自治区,Xinjiang,76,0.0,69,3
47544,Asia,中国,China,甘肃省,Gansu,91,0.0,87,2
47555,Asia,中国,China,湖北省,Hubei,67332,0.0,38557,2871
47572,Asia,中国,China,山东省,Shandong,758,0.0,516,6
47587,Asia,中国,China,四川省,Sichuan,538,0.0,406,3
47608,Asia,中国,China,黑龙江省,Heilongjiang,480,0.0,373,13
47621,Asia,中国,China,江苏省,Jiangsu,631,0.0,577,0
47634,Asia,中国,China,福建省,Fujian,296,0.0,270,1
47684,Asia,中国,China,广东省,Guangdong,1350,0.0,1133,7
47725,Asia,中国,China,浙江省,Zhejiang,1213,0.0,1114,1
47746,Asia,中国,China,安徽省,Anhui,990,0.0,956,6
47762,Asia,中国,China,河北省,Hebei,318,0.0,301,6
47773,Asia,中国,China,吉林省,Jilin,93,0.0,86,1
47783,Asia,中国,China,海南省,Hainan,168,0.0,158,5
47833,Asia,中国,China,香港,Hong Kong,102,0.0,37,2
47925,Asia,中国,China,上海市,Shanghai,338,0.0,298,3
47954,Asia,中国,China,北京市,Beijing,417,0.0,294,8
48024,Asia,中国,China,江西省,Jiangxi,935,0.0,884,1
48036,Asia,中国,China,宁夏回族自治区,Ningxia,75,0.0,69,0
48120,Asia,中国,China,河南省,Henan,1272,0.0,1234,22
48154,Asia,中国,China,广西壮族自治区,Guangxi,252,0.0,210,2
48275,Asia,中国,China,重庆市,Chongqing,576,0.0,490,6
48314,Asia,中国,China,山西省,Shanxi,133,0.0,124,0
