,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
0,Europe,意大利,Italy,意大利,Italy,110574,0.0,16847,13155,,,,,,,2020-04-02
233,Europe,意大利,Italy,意大利,Italy,105792,0.0,15729,12428,,,,,,,2020-04-01
2150,Europe,意大利,Italy,意大利,Italy,102106,0.0,14620,11591,,,,,,,2020-03-31
4212,Europe,意大利,Italy,意大利,Italy,97689,0.0,13030,10779,,,,,,,2020-03-30
7830,Europe,意大利,Italy,意大利,Italy,93051,0.0,12384,10023,,,,,,,2020-03-29
9288,Europe,意大利,Italy,意大利,Italy,87275,0.0,10950,9258,,,,,,,2020-03-28
11324,Europe,意大利,Italy,意大利,Italy,81129,0.0,10361,8215,,,,,,,2020-03-27
13832,Europe,意大利,Italy,意大利,Italy,74386,0.0,9362,7503,,,,,,,2020-03-26
17800,Europe,意大利,Italy,意大利,Italy,70545,0.0,8326,6820,,,,,,,2020-03-25
19499,Europe,意大利,Italy,意大利,Italy,64378,0.0,7432,6077,,,,,,,2020-03-24
22835,Europe,意大利,Italy,意大利,Italy,59514,0.0,7024,5476,,,,,,,2020-03-23
25434,Europe,意大利,Italy,意大利,Italy,55218,0.0,6072,4825,,,,,,,2020-03-22
26931,Europe,意大利,Italy,意大利,Italy,47021,0.0,5129,4032,,,,,,,2020-03-21
27799,Europe,意大利,Italy,意大利,Italy,41035,0.0,4440,3405,,,,,,,2020-03-20
29051,Europe,意大利,Italy,意大利,Italy,37178,0.0,4025,2978,,,,,,,2020-03-19
31399,Europe,意大利,Italy,意大利,Italy,31506,0.0,2941,2503,,,,,,,2020-03-18
32805,Europe,意大利,Italy,意大利,Italy,29022,0.0,2749,2158,,,,,,,2020-03-17
34860,Europe,意大利,Italy,意大利,Italy,24938,0.0,2335,1809,,,,,,,2020-03-16
36388,Europe,意大利,Italy,意大利,Italy,21270,0.0,1966,1441,,,,,,,2020-03-15
37455,Europe,意大利,Italy,意大利,Italy,17660,0.0,1439,1266,,,,,,,2020-03-14
38531,Europe,意大利,Italy,意大利,Italy,15113,0.0,1258,1016,,,,,,,2020-03-13
39473,Europe,意大利,Italy,意大利,Italy,12462,0.0,1045,827,,,,,,,2020-03-12
40275,Europe,意大利,Italy,意大利,Italy,10283,0.0,1004,631,,,,,,,2020-03-11
41247,Europe,意大利,Italy,意大利,Italy,9172,0.0,724,463,,,,,,,2020-03-10
42553,Europe,意大利,Italy,意大利,Italy,7375,0.0,622,366,,,,,,,2020-03-09
43736,Europe,意大利,Italy,意大利,Italy,5883,0.0,589,233,,,,,,,2020-03-08
44368,Europe,意大利,Italy,意大利,Italy,4636,0.0,523,197,,,,,,,2020-03-07
45336,Europe,意大利,Italy,意大利,Italy,3927,0.0,414,148,,,,,,,2020-03-06
46462,Europe,意大利,Italy,意大利,Italy,3089,0.0,276,107,,,,,,,2020-03-05
47645,Europe,意大利,Italy,意大利,Italy,2502,0.0,160,79,,,,,,,2020-03-04
49054,Europe,意大利,Italy,意大利,Italy,2036,0.0,149,52,,,,,,,2020-03-03
50467,Europe,意大利,Italy,意大利,Italy,1694,0.0,83,34,,,,,,,2020-03-02
51737,Europe,意大利,Italy,意大利,Italy,1128,0.0,50,29,,,,,,,2020-03-01
52586,Europe,意大利,Italy,意大利,Italy,888,0.0,46,21,,,,,,,2020-02-29
54186,Europe,意大利,Italy,意大利,Italy,653,0.0,45,17,,,,,,,2020-02-28
54947,Europe,意大利,Italy,意大利,Italy,528,0.0,40,14,,,,,,,2020-02-27
56072,Europe,意大利,Italy,意大利,Italy,374,0.0,1,12,,,,,,,2020-02-26
57401,Europe,意大利,Italy,意大利,Italy,283,0.0,1,7,,,,,,,2020-02-25
58704,Europe,意大利,Italy,意大利,Italy,230,0.0,2,6,,,,,,,2020-02-24
59800,Europe,意大利,Italy,意大利,Italy,117,0.0,1,2,,,,,,,2020-02-23
61554,Europe,意大利,Italy,意大利,Italy,20,0.0,0,2,,,,,,,2020-02-22
72050,Europe,意大利,Italy,意大利,Italy,3,0.0,0,0,,,,,,,2020-02-16
75110,Europe,意大利,Italy,意大利,Italy,3,0.0,0,0,,,,,,,2020-02-15
77388,Europe,意大利,Italy,意大利,Italy,3,0.0,0,0,,,,,,,2020-02-14
78236,Europe,意大利,Italy,意大利,Italy,3,0.0,0,0,,,,,,,2020-02-13
80366,Europe,意大利,Italy,意大利,Italy,3,0.0,0,0,,,,,,,2020-02-12
82668,Europe,意大利,Italy,意大利,Italy,3,0.0,0,0,,,,,,,2020-02-11
84567,Europe,意大利,Italy,意大利,Italy,3,0.0,0,0,,,,,,,2020-02-10
90315,Europe,意大利,Italy,意大利,Italy,3,0.0,0,0,,,,,,,2020-02-08
105903,Europe,意大利,Italy,意大利,Italy,2,0.0,0,0,,,,,,,2020-02-01
107432,,意大利,Italy,意大利,Italy,2,0.0,0,0,,,,,,,2020-01-31
