,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
39185,Europe,西班牙,Spain,西班牙,Spain,1648,0.0,2,35,,,,,,
39186,Asia,日本,Japan,日本,Japan,581,0.0,102,12,,,,,,
39187,Europe,荷兰,Netherlands,荷兰,Netherlands,382,0.0,0,4,,,,,,
39188,Europe,瑞典,Sweden,瑞典,Sweden,326,0.0,0,0,,,,,,
39189,Asia,马来西亚,Malaysia,马来西亚,Malaysia,129,0.0,23,0,,,,,,
39190,Asia,印度,India,印度,India,58,0.0,3,0,,,,,,
39191,Europe,法国,France,法国,France,1606,0.0,12,30,,,,,,
39192,Asia,印度尼西亚,Indonesia,印度尼西亚,Indonesia,27,0.0,2,0,,,,,,
39193,Europe,波兰,Poland,波兰,Poland,18,0.0,0,0,,,,,,
39194,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,12,0.0,0,0,,,,,,
39195,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,8,0.0,0,0,,,,,,
39210,Others,钻石公主号邮轮,Diamond Princess Cruise Ship,钻石公主号邮轮,Diamond Princess Cruise Ship,696,0.0,427,6,,,,,,
39213,Europe,丹麦,Denmark,丹麦,Denmark,113,0.0,1,0,,,,,,
39214,Europe,希腊,Greece,希腊,Greece,89,0.0,0,0,,,,,,
39215,Asia,科威特,Kuwait,科威特,Kuwait,69,0.0,0,0,,,,,,
39216,Asia,菲律宾,Philippines,菲律宾,Philippines,33,0.0,1,1,,,,,,
39217,Asia,泰国,Thailand,泰国,Thailand,53,0.0,31,1,,,,,,
39218,South America,智利,Chile,智利,Chile,13,0.0,0,0,,,,,,
39219,Asia,阿塞拜疆,Azerbaijan,阿塞拜疆,Azerbaijan,11,0.0,0,0,,,,,,
39220,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,9,0.0,2,0,,,,,,
39221,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,4,0.0,0,0,,,,,,
39223,Asia,阿联酋,United Arab Emirates,阿联酋,United Arab Emirates,74,0.0,7,0,,,,,,
39224,Europe,芬兰,Finland,芬兰,Finland,40,0.0,1,0,,,,,,
39225,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,7,0.0,0,0,,,,,,
39226,Europe,阿尔巴尼亚,Albania,阿尔巴尼亚,Albania,6,0.0,0,0,,,,,,
39227,Europe,瑞士,Switzerland,瑞士,Switzerland,476,0.0,3,3,,,,,,
39229,Europe,奥地利,Austria,奥地利,Austria,157,0.0,2,0,,,,,,
39230,Asia,新加坡,Singapore,新加坡,Singapore,166,0.0,82,0,,,,,,
39232,Europe,捷克,Czech Republic,捷克,Czech Republic,40,0.0,0,0,,,,,,
