,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
78343,Asia,日本,Japan,日本,Japan,203,0.0,9,0,,,,,,
78344,Asia,新加坡,Singapore,新加坡,Singapore,47,0.0,9,0,,,,,,
78345,Asia,泰国,Thailand,泰国,Thailand,33,0.0,10,0,,,,,,
78346,Asia,韩国,Korea,韩国,Korea,28,0.0,4,0,,,,,,
78347,Asia,马来西亚,Malaysia,马来西亚,Malaysia,18,0.0,3,0,,,,,,
78348,Europe,德国,Germany,德国,Germany,16,0.0,0,0,,,,,,
78349,Asia,越南,Vietnam,越南,Vietnam,15,0.0,3,0,,,,,,
78350,Oceania,澳大利亚,Australia,澳大利亚,Australia,15,0.0,5,0,,,,,,
78351,North America,美国,United States of America,美国,United States of America,13,0.0,3,0,,,,,,
78352,Europe,法国,France,法国,France,11,0.0,0,0,,,,,,
78353,Asia,阿联酋,United Arab Emirates,阿联酋,United Arab Emirates,8,0.0,1,0,,,,,,
78354,Europe,英国,United Kingdom,英国,United Kingdom,8,0.0,0,0,,,,,,
78355,North America,加拿大,Canada,加拿大,Canada,7,0.0,0,0,,,,,,
78356,Asia,印度,India,印度,India,3,0.0,0,0,,,,,,
78357,Europe,意大利,Italy,意大利,Italy,3,0.0,0,0,,,,,,
78358,Asia,菲律宾,Philippines,菲律宾,Philippines,3,0.0,1,1,,,,,,
78359,Europe,俄罗斯,Russia,俄罗斯,Russia,2,0.0,0,0,,,,,,
78360,Europe,西班牙,Spain,西班牙,Spain,2,0.0,0,0,,,,,,
78361,Asia,尼泊尔,Nepal,尼泊尔,Nepal,1,0.0,0,0,,,,,,
78362,Asia,柬埔寨,Kampuchea (Cambodia ),柬埔寨,Kampuchea (Cambodia ),1,0.0,1,0,,,,,,
78363,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,0,0,,,,,,
78364,Europe,芬兰,Finland,芬兰,Finland,1,0.0,1,0,,,,,,
78365,Europe,瑞典,Sweden,瑞典,Sweden,1,0.0,0,0,,,,,,
78366,Europe,比利时,Belgium,比利时,Belgium,1,0.0,0,0,,,,,,
